subject,session,run,task,vif
sub-s1486,ses-11,run-1,stopSignalWFlanker,7.677874860269173
sub-s1486,ses-12,run-1,spatialTSWCuedTS,8.113783675442965
sub-s1486,ses-12,run-1,stopSignalWFlanker,5.061274207537017
sub-s180,ses-11,run-1,stopSignalWDirectedForgetting,12.24366190781766
sub-s180,ses-11,run-1,stopSignalWFlanker,5.308675108801423
sub-s180,ses-12,run-1,stopSignalWDirectedForgetting,12.14845626021175
sub-s180,ses-12,run-1,stopSignalWFlanker,5.438112177481994
sub-s19,ses-11,run-1,stopSignalWDirectedForgetting,20.604983042196857
sub-s19,ses-11,run-1,stopSignalWFlanker,6.06716116479873
sub-s19,ses-12,run-1,directedForgettingWFlanker,10.329051095927763
sub-s19,ses-12,run-1,stopSignalWDirectedForgetting,24.16780892759081
sub-s19,ses-12,run-1,stopSignalWFlanker,5.814523758217792
sub-s216,ses-11,run-1,directedForgettingWFlanker,18.10191745506144
sub-s216,ses-11,run-1,stopSignalWDirectedForgetting,22.86950755903358
sub-s216,ses-11,run-1,stopSignalWFlanker,5.589223257450621
sub-s216,ses-12,run-1,directedForgettingWFlanker,11.37314191745878
sub-s216,ses-12,run-1,stopSignalWDirectedForgetting,13.974074475364429
sub-s216,ses-12,run-1,stopSignalWFlanker,8.527544863821376
sub-s247,ses-11,run-1,directedForgettingWFlanker,12.359812220071468
sub-s247,ses-11,run-1,stopSignalWDirectedForgetting,28.85309570314117
sub-s247,ses-11,run-1,stopSignalWFlanker,6.202012770274441
sub-s247,ses-12,run-1,directedForgettingWFlanker,12.191309655217724
sub-s247,ses-12,run-1,stopSignalWDirectedForgetting,27.782418176066027
sub-s247,ses-12,run-1,stopSignalWFlanker,7.170790777758026
sub-s247,ses-12,run-2,stopSignalWDirectedForgetting,30.51218013432057
sub-s286,ses-11,run-1,spatialTSWCuedTS,14.296429060256088
sub-s286,ses-11,run-1,stopSignalWDirectedForgetting,14.680588892183357
sub-s286,ses-11,run-1,stopSignalWFlanker,5.224056377151571
sub-s286,ses-12,run-1,spatialTSWCuedTS,53.564498848634585
sub-s286,ses-12,run-1,stopSignalWDirectedForgetting,11.962226946374416
sub-s286,ses-12,run-1,stopSignalWFlanker,4.501290087816488
sub-s29,ses-11,run-1,directedForgettingWFlanker,13.09265283318405
sub-s29,ses-11,run-1,stopSignalWDirectedForgetting,22.179482319006663
sub-s29,ses-11,run-1,stopSignalWFlanker,19.56570056649872
sub-s29,ses-12,run-1,directedForgettingWFlanker,8.315680247350375
sub-s29,ses-12,run-1,stopSignalWDirectedForgetting,17.93661920646358
sub-s29,ses-12,run-1,stopSignalWFlanker,5.359911629336359
sub-s295,ses-11,run-1,spatialTSWCuedTS,6.350213078180725
sub-s295,ses-11,run-1,stopSignalWDirectedForgetting,11.938715460220337
sub-s295,ses-11,run-1,stopSignalWFlanker,3.772802791700333
sub-s295,ses-12,run-1,spatialTSWCuedTS,5.1780127091052055
sub-s295,ses-12,run-1,stopSignalWDirectedForgetting,12.035463816626626
sub-s295,ses-12,run-1,stopSignalWFlanker,5.406212657228695
sub-s300,ses-11,run-1,spatialTSWShapeMatching,9.788080813719212
sub-s300,ses-11,run-1,stopSignalWDirectedForgetting,10.129487624232748
sub-s300,ses-11,run-1,stopSignalWFlanker,5.524794703700602
sub-s300,ses-12,run-1,spatialTSWShapeMatching,4.980768196505779
sub-s300,ses-12,run-1,stopSignalWDirectedForgetting,10.35862586237491
sub-s300,ses-12,run-1,stopSignalWFlanker,5.4336879937486815
sub-s320,ses-11,run-1,directedForgettingWCuedTS,8.014985125503912
sub-s320,ses-11,run-1,stopSignalWDirectedForgetting,10.503520841109795
sub-s320,ses-11,run-1,stopSignalWFlanker,5.202781173364489
sub-s320,ses-12,run-1,directedForgettingWCuedTS,7.45901932503557
sub-s320,ses-12,run-1,stopSignalWDirectedForgetting,10.576725343259202
sub-s320,ses-12,run-1,stopSignalWFlanker,5.119385028655074
sub-s321,ses-11,run-1,stopSignalWDirectedForgetting,12.038794706832988
sub-s321,ses-11,run-1,stopSignalWFlanker,8.19125998424654
sub-s321,ses-12,run-1,stopSignalWDirectedForgetting,12.70215318806936
sub-s321,ses-12,run-1,stopSignalWFlanker,5.732360073615217
sub-s336,ses-11,run-1,spatialTSWCuedTS,4.63638693814814
sub-s336,ses-11,run-1,stopSignalWDirectedForgetting,17.060427065373407
sub-s336,ses-11,run-1,stopSignalWFlanker,6.880091255153507
sub-s336,ses-12,run-1,spatialTSWCuedTS,6.342037176324775
sub-s336,ses-12,run-1,stopSignalWDirectedForgetting,11.59501723235354
sub-s336,ses-12,run-1,stopSignalWFlanker,4.879117689169493
sub-s373,ses-11,run-1,stopSignalWDirectedForgetting,11.628882265778252
sub-s373,ses-11,run-1,stopSignalWFlanker,4.585790632934748
sub-s373,ses-12,run-1,stopSignalWDirectedForgetting,11.494692158010093
sub-s373,ses-12,run-1,stopSignalWFlanker,4.841462948898383
sub-s394,ses-11,run-1,spatialTSWCuedTS,4.8802391749122975
sub-s394,ses-11,run-1,stopSignalWDirectedForgetting,11.275163326960246
sub-s394,ses-11,run-1,stopSignalWFlanker,8.043674659726143
sub-s394,ses-12,run-1,spatialTSWCuedTS,7.406024702168064
sub-s394,ses-12,run-1,stopSignalWDirectedForgetting,13.794500351366423
sub-s394,ses-12,run-1,stopSignalWFlanker,5.643242108262704
sub-s415,ses-11,run-1,spatialTSWCuedTS,21.06301604899268
sub-s415,ses-11,run-1,stopSignalWDirectedForgetting,15.874680129769692
sub-s415,ses-11,run-1,stopSignalWFlanker,6.692795832216768
sub-s415,ses-12,run-1,spatialTSWCuedTS,18.987851555680244
sub-s415,ses-12,run-1,stopSignalWDirectedForgetting,14.63557212474781
sub-s415,ses-12,run-1,stopSignalWFlanker,5.319164887078571
sub-s43,ses-11,run-1,stopSignalWDirectedForgetting,30.297332256098883
sub-s43,ses-11,run-1,stopSignalWFlanker,5.511495370131849
sub-s43,ses-12,run-1,directedForgettingWFlanker,10.780750095372431
sub-s43,ses-12,run-1,stopSignalWDirectedForgetting,22.20637721597056
sub-s43,ses-12,run-1,stopSignalWFlanker,6.929004755779471
sub-s480,ses-11,run-1,spatialTSWCuedTS,4.655186336506196
sub-s480,ses-11,run-1,stopSignalWDirectedForgetting,10.401166340791498
sub-s480,ses-11,run-1,stopSignalWFlanker,5.197301133843363
sub-s480,ses-12,run-1,spatialTSWCuedTS,7.7237597376018226
sub-s480,ses-12,run-1,stopSignalWDirectedForgetting,11.58323206320241
sub-s480,ses-12,run-1,stopSignalWFlanker,4.968878883935926
sub-s599,ses-11,run-1,spatialTSWCuedTS,5.645818205432563
sub-s599,ses-11,run-1,stopSignalWDirectedForgetting,10.118257126323345
